tweet_id,favorites,retweets,user_followers,user_favourites,date_time
873213775632977920,7312,1621,6742839,133084,2017-06-09 16:22:42
872967104147763200,27563,5512,6742839,133084,2017-06-09 00:02:31
872820683541237760,14814,3776,6742839,133084,2017-06-08 14:20:41
872668790621863937,0,28,6742839,133084,2017-06-08 04:17:07
872620804844003328,20932,3788,6742839,133084,2017-06-08 01:06:27
872486979161796608,40985,9200,6742839,133084,2017-06-07 16:14:40
872261713294495745,34494,6474,6742839,133084,2017-06-07 01:19:32
872122724285648897,34719,8310,6742839,133084,2017-06-06 16:07:15
871879754684805121,38370,11494,6742839,133084,2017-06-06 00:01:46
871762521631449091,20437,3564,6742839,133084,2017-06-05 16:15:56
871515927908634625,20399,3537,6742839,133084,2017-06-04 23:56:03
871166179821445120,0,5827,6742839,133084,2017-06-04 00:46:17
871102520638267392,21116,5616,6742839,133084,2017-06-03 20:33:19
871032628920680449,22877,3897,6742839,133084,2017-06-03 15:55:36
870804317367881728,33999,6382,6742839,133084,2017-06-03 00:48:22
870726314365509632,120,3,6742839,133084,2017-06-02 19:38:25
870656317836468226,12577,2724,6742839,133084,2017-06-02 15:00:16
870374049280663552,83600,26961,6742839,133084,2017-06-01 20:18:38
870308999962521604,22070,4269,6742839,133084,2017-06-01 16:00:09
870063196459192321,37120,8597,6742839,133084,2017-05-31 23:43:25
869772420881756160,42935,10347,6742839,133084,2017-05-31 04:27:59
869702957897576449,28613,6523,6742839,133084,2017-05-30 23:51:58
869596645499047938,16207,3232,6742839,133084,2017-05-30 16:49:31
869227993411051520,20722,3912,6742839,133084,2017-05-29 16:24:37
868880397819494401,66591,14983,6742839,133084,2017-05-28 17:23:24
868639477480148993,0,2166,6742839,133084,2017-05-28 01:26:04
868622495443632128,27649,5957,6742839,133084,2017-05-28 00:18:35
868552278524837888,10344,2166,6742839,133084,2017-05-27 19:39:34
867900495410671616,24567,4322,6742839,133084,2017-05-26 00:29:37
867774946302451713,34547,7582,6742839,133084,2017-05-25 16:10:44
867421006826221569,16446,2609,6742839,133084,2017-05-24 16:44:18
867072653475098625,0,131,6742839,133084,2017-05-23 17:40:04
867051520902168576,32820,8167,6742839,133084,2017-05-23 16:16:06
866720684873056260,20481,5014,6742839,133084,2017-05-22 18:21:28
866686824827068416,19721,3622,6742839,133084,2017-05-22 16:06:55
866450705531457537,124564,36605,6742619,133085,2017-05-22 00:28:40
866334964761202691,53685,15061,6742839,133084,2017-05-21 16:48:45
866094527597207552,0,8699,6742839,133084,2017-05-21 00:53:21
865718153858494464,26139,5831,6742839,133084,2017-05-19 23:57:46
865359393868664832,27050,5213,6742839,133084,2017-05-19 00:12:11
865006731092295680,28598,7997,6742839,133084,2017-05-18 00:50:50
864873206498414592,33030,9107,6742619,133085,2017-05-17 16:00:15
864279568663928832,14945,3179,6742839,133084,2017-05-16 00:41:21
864197398364647424,30872,9360,6742839,133084,2017-05-15 19:14:50
863907417377173506,21110,4325,6742839,133084,2017-05-15 00:02:33
863553081350529029,15650,4355,6742839,133084,2017-05-14 00:34:33
863471782782697472,0,2588,6742839,133084,2017-05-13 19:11:30
863432100342583297,24357,5518,6742839,133084,2017-05-13 16:33:49
863427515083354112,2314,101,6742839,133084,2017-05-13 16:15:35
863079547188785154,8959,1152,6742839,133084,2017-05-12 17:12:53
863062471531167744,8760,2588,6742839,133084,2017-05-12 16:05:02
862831371563274240,19659,5313,6742839,133084,2017-05-12 00:46:44
862722525377298433,17507,3704,6742839,133084,2017-05-11 17:34:13
862457590147678208,21091,5203,6742839,133084,2017-05-11 00:01:27
862096992088072192,76615,24425,6742839,133084,2017-05-10 00:08:34
861383897657036800,37049,11223,6742839,133084,2017-05-08 00:54:59
861288531465048066,17672,4375,6742839,133084,2017-05-07 18:36:02
861005113778896900,17189,4000,6742839,133084,2017-05-06 23:49:50
